variant,size,seed,layers,similarity,run_tag,final_step,final_moves,final_tau,final_entropy,final_gini,final_drift,n_steps,auc_moves,auc_tau,auc_entropy,auc_gini,auc_drift,first_zero_moves_step,stable_moves_step,stable_tau_step,stable_entropy_step,stable_gini_step,stable_drift_step,delta_moves_last,delta_tau_last,delta_entropy_last,delta_gini_last,delta_drift_last,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,16,101,0.833333,0.435166,0.19117,0.0,16,1599.0,11.267857,8.340454999999999,3.6831329999999998,0.0,,10.0,6.0,,,2.0,1.0,0.033332999999999946,0.026065999999999978,0.012340000000000018,0.0,30,13,8,9,58,90,84,103,110,96,0.563107,0.818182,0.875
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,16,97,0.75,0.323745,0.145075,0.0,16,1638.0,11.225001,8.176302,3.6077779999999997,0.0,,2.0,13.0,,,2.0,-10.0,-0.050000000000000044,-0.13573400000000002,-0.055226,0.0,26,7,11,8,74,73,83,106,118,96,0.698113,0.618644,0.864583
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,16,102,0.75,0.359883,0.158439,0.0,16,1670.0,11.295237,8.090669,3.562426,0.0,,,16.0,,,2.0,-3.0,0.0,-0.08207300000000001,-0.036859,0.0,27,8,9,10,61,86,81,88,107,130,0.693182,0.803738,0.623077
baseline,20,22,1,cosine,baseline_size20_seed22_L1_cosine,16,103,0.857143,0.455108,0.199533,0.0,16,1548.0,11.753573,7.525018,3.339203,0.0,,15.0,11.0,,,2.0,2.0,0.057142999999999944,0.11033900000000002,0.04518799999999998,0.0,43,13,16,14,44,56,62,98,93,108,0.44898,0.602151,0.574074
baseline,20,42,1,cosine,baseline_size20_seed42_L1_cosine,16,103,0.833333,0.440405,0.192979,0.0,16,1671.0,10.94881,8.682796,3.820646,0.0,,8.0,10.0,,,2.0,0.0,0.08333299999999999,0.05551499999999998,0.025296000000000013,0.0,29,8,11,10,70,101,96,105,112,107,0.666667,0.901786,0.897196
baseline,20,70,1,cosine,baseline_size20_seed70_L1_cosine,16,98,0.833333,0.350321,0.154402,0.0,16,1623.0,11.667855,7.736675999999999,3.430548,0.0,,,7.0,,,2.0,-6.0,0.0,-0.013104000000000005,-0.005671999999999983,0.0,36,13,11,12,82,97,50,111,109,91,0.738739,0.889908,0.549451
baseline,20,605,1,cosine,baseline_size20_seed605_L1_cosine,16,108,0.833333,0.525187,0.229353,0.0,16,1561.0,10.580953000000001,9.391952,4.16327,0.0,,10.0,5.0,,,2.0,12.0,0.08333299999999999,0.11179199999999995,0.046964000000000006,0.0,36,17,12,7,35,55,72,104,102,109,0.336538,0.539216,0.66055
baseline,40,11,1,cosine,baseline_size40_seed11_L1_cosine,16,421,0.8,0.426623,0.187826,0.0,16,6633.0,11.432142,8.247420000000002,3.618571,0.0,,,11.0,,,2.0,17.0,-0.033332999999999946,-0.00798500000000002,-0.0011810000000000154,0.0,137,53,43,41,255,177,99,425,443,404,0.6,0.399549,0.24505
baseline,40,17,1,cosine,baseline_size40_seed17_L1_cosine,16,399,0.75,0.317255,0.139211,0.0,16,6586.0,11.497619,8.008836,3.522857,0.0,,,11.0,,,2.0,-35.0,-0.10714299999999999,-0.134978,-0.059054999999999996,0.0,109,41,30,38,195,181,158,414,437,394,0.471014,0.414188,0.401015
baseline,40,20,1,cosine,baseline_size40_seed20_L1_cosine,16,415,0.833333,0.444017,0.193691,0.0,16,6609.0,11.699999,7.992891,3.515493,0.0,,,12.0,,,2.0,19.0,0.0,0.03240500000000002,0.015148999999999996,0.0,135,48,45,42,143,159,161,405,397,443,0.353086,0.400504,0.363431
