variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,1,98,0.25,1.01467,0.448081,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,2,95,0.4,0.678594,0.308912,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,3,101,0.625,0.525658,0.235329,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,4,97,0.75,0.578435,0.25257,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,5,99,0.714286,0.54315,0.239229,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,6,102,0.714286,0.556997,0.246066,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,7,104,0.714286,0.444002,0.198558,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,8,100,0.75,0.493409,0.218353,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,9,102,0.75,0.509527,0.222395,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,10,102,0.75,0.479141,0.21055,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,11,103,0.8,0.478671,0.209712,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,12,97,0.75,0.364135,0.161925,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,13,99,0.833333,0.394777,0.172876,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,14,99,0.833333,0.435023,0.188577,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,15,100,0.8,0.4091,0.17883,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,11,1,cosine,baseline_size20_seed11_L1_cosine,16,101,0.833333,0.435166,0.19117,0.0,outputs\size_sweep\metrics\baseline_size20_seed11_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,1,94,0.2,1.083764,0.478434,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,2,94,0.375,0.74255,0.335154,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,3,105,0.6,0.536833,0.238084,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,4,100,0.714286,0.466818,0.204401,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,5,103,0.8,0.541312,0.236548,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,6,100,0.714286,0.461493,0.202485,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,7,103,0.8,0.489477,0.215763,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,8,105,0.75,0.420091,0.186296,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,9,103,0.8,0.538455,0.233591,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,10,103,0.714286,0.343549,0.152847,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,11,104,0.857143,0.460668,0.201036,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,12,109,0.8,0.441616,0.194664,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,13,110,0.8,0.459559,0.200782,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,14,101,0.75,0.406893,0.182317,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,15,107,0.8,0.459479,0.200301,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,17,1,cosine,baseline_size20_seed17_L1_cosine,16,97,0.75,0.323745,0.145075,0.0,outputs\size_sweep\metrics\baseline_size20_seed17_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,1,88,0.25,0.997121,0.441605,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,2,109,0.428571,0.684853,0.306472,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
