variant,size,layers,step,moves_n,moves_mean,moves_std,moves_median,moves_min,moves_max,moves_ci95,tau_n,tau_mean,tau_std,tau_median,tau_min,tau_max,tau_ci95,entropy_n,entropy_mean,entropy_std,entropy_median,entropy_min,entropy_max,entropy_ci95,gini_n,gini_mean,gini_std,gini_median,gini_min,gini_max,gini_ci95,drift_n,drift_mean,drift_std,drift_median,drift_min,drift_max,drift_ci95
baseline,20,1,1,7,93.85714285714286,7.79804615333378,94.0,80,103,5.776873433499011,7,0.2357142857142857,0.024397501823713325,0.25,0.2,0.25,0.018073922282301275,7,1.0507367142857142,0.053150541576777593,1.037448,0.997121,1.152128,0.039374472216954656,7,0.464633,0.02445714259679574,0.457636,0.441605,0.511044,0.018118104785302472,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,2,7,94.28571428571429,7.718252948137202,94.0,83,109,5.717761799865398,7,0.39914942857142854,0.03538674589380013,0.4,0.333333,0.428571,0.02621486821599274,7,0.7255891428571429,0.08814928130625638,0.692978,0.640636,0.91045,0.06530190144392019,7,0.32882585714285717,0.03971051023523693,0.314078,0.295461,0.413643,0.029417957665018143,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,3,7,99.85714285714286,9.529403119268476,104.0,79,106,7.059480623010921,7,0.5964285714285714,0.044320263021395925,0.6,0.5,0.625,0.032832910318764,7,0.533195,0.08849379808400891,0.536833,0.413826,0.63878,0.06555712304451844,7,0.23921857142857145,0.040548734250105946,0.238084,0.187792,0.29766,0.03003892270518369,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,4,7,102.0,5.830951894845301,100.0,97,113,4.319629613751624,7,0.7350341428571429,0.06366096147935711,0.714286,0.666667,0.833333,0.04716070024333962,7,0.5630027142857142,0.06990585426060371,0.593628,0.461258,0.636287,0.051786981557103075,7,0.24786342857142857,0.02976100389131804,0.26031,0.204401,0.282158,0.022047260217934864,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,5,7,101.28571428571429,6.897204402613321,102.0,92,113,5.109520525450504,7,0.7183675714285714,0.05969348442629549,0.714286,0.666667,0.8,0.044221552111207804,7,0.5033812857142858,0.10016163238771335,0.541312,0.338576,0.624381,0.0742007756582854,7,0.22170814285714285,0.04148390498907807,0.236548,0.152478,0.269931,0.030731706883621018,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,6,7,103.71428571428571,3.3523268393901025,102.0,100,110,2.4834384765213464,7,0.7551021428571428,0.06799161319218856,0.75,0.666667,0.857143,0.05036889192849623,7,0.5312644285714285,0.05311929332755704,0.553759,0.461493,0.602733,0.03935132318997841,7,0.23309785714285716,0.02214002536454864,0.242118,0.202485,0.260843,0.016401560317872196,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,7,7,101.71428571428571,6.499084184567487,103.0,88,108,4.814588940570801,7,0.7163267142857144,0.05271215114093489,0.714286,0.666667,0.8,0.03904970803724572,7,0.4433722857142857,0.0668003234016979,0.450835,0.306732,0.504261,0.049486372101482635,7,0.19682842857142857,0.02837308867487608,0.19871,0.139262,0.224555,0.021019078236941473,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,8,7,101.57142857142857,4.197504927816954,103.0,94,106,3.1095551664721004,7,0.7698980000000001,0.05264500129483647,0.75,0.714286,0.875,0.03899996273510698,7,0.47677514285714284,0.06037711100085465,0.493409,0.367446,0.530687,0.04472798976486498,7,0.2096104285714286,0.02556018924589007,0.218353,0.162803,0.232847,0.018935253178344356,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,9,7,101.57142857142857,4.577377082170634,103.0,92,105,3.3909683965891904,7,0.7571428571428571,0.051690803374257896,0.75,0.666667,0.833333,0.03829308302327893,7,0.44666414285714284,0.12135825963708798,0.49114,0.195625,0.538455,0.08990345687213588,7,0.19588585714285714,0.05210303950004123,0.218194,0.08817,0.234862,0.03859847181895159,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,10,7,100.0,13.650396819628847,103.0,70,111,10.112355478983782,7,0.7945578571428572,0.10049672469692494,0.75,0.714286,1.0,0.07444901551488418,7,0.4207444285714286,0.0745402321967968,0.451145,0.294824,0.485159,0.05522017677728556,7,0.18579785714285713,0.03215479386980305,0.197462,0.131704,0.216662,0.023820604650652062,7,0.0,0.0,0.0,0.0,0.0,0.0
