variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
baseline,20,42,1,cosine,red,8,70;16;10;4;2;1;1;1
baseline,20,42,1,cosine,green,11,101;2;1;1;1;1;1;1;1;1;1
baseline,20,42,1,cosine,blue,10,96;2;2;1;1;1;1;1;1;1
baseline,20,20,1,cosine,red,8,61;8;8;5;3;1;1;1
baseline,20,20,1,cosine,green,9,86;7;5;3;2;1;1;1;1
baseline,20,20,1,cosine,blue,10,81;41;1;1;1;1;1;1;1;1
without_influencer,20,20,3,hybrid,red,13,12;3;2;2;2;1;1;1;1;1;1;1;1
without_influencer,20,20,3,hybrid,green,13,74;27;2;2;2;1;1;1;1;1;1;1;1
without_influencer,20,20,3,hybrid,blue,3,177;3;1
with_influencer,20,20,1,hybrid,red,4,32;18;14;7
with_influencer,20,20,1,hybrid,green,5,66;25;5;3;2
with_influencer,20,20,1,hybrid,blue,3,98;48;7
with_influencer,20,20,2,hybrid,red,6,17;10;5;2;2;2
with_influencer,20,20,2,hybrid,green,3,113;13;7
with_influencer,20,20,2,hybrid,blue,2,94;60
baseline,20,11,1,cosine,red,13,58;14;11;6;3;3;2;1;1;1;1;1;1
baseline,20,11,1,cosine,green,8,90;12;2;2;1;1;1;1
baseline,20,11,1,cosine,blue,9,84;3;3;1;1;1;1;1;1
without_influencer,20,11,1,hybrid,red,7,43;23;7;6;5;3;1
without_influencer,20,11,1,hybrid,green,5,48;27;26;14;7
without_influencer,20,11,1,hybrid,blue,10,24;24;14;12;12;5;3;3;1;1
without_influencer,20,11,2,hybrid,red,12,47;30;15;7;6;3;3;3;1;1;1;1
without_influencer,20,11,2,hybrid,green,6,71;25;13;6;2;1
without_influencer,20,11,2,hybrid,blue,9,28;17;11;9;2;2;2;1;1
without_influencer,20,11,3,hybrid,red,11,48;42;11;9;6;4;2;2;1;1;1
without_influencer,20,11,3,hybrid,green,11,36;21;15;10;9;5;2;1;1;1;1
without_influencer,20,11,3,hybrid,blue,13,24;20;11;10;5;3;1;1;1;1;1;1;1
with_influencer,20,11,1,hybrid,red,6,37;36;10;8;6;1
with_influencer,20,11,1,hybrid,green,4,71;16;13;6
with_influencer,20,11,1,hybrid,blue,6,26;26;21;20;9;3
with_influencer,20,11,2,hybrid,red,7,42;20;14;9;7;2;1
with_influencer,20,11,2,hybrid,green,5,41;29;20;15;6
