variant,size,seed,layers,similarity,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
baseline,20,42,1,cosine,29,8,11,10,70,101,96,105,112,107,0.666667,0.901786,0.897196
baseline,20,20,1,cosine,27,8,9,10,61,86,81,88,107,130,0.693182,0.803738,0.623077
without_influencer,20,20,3,hybrid,29,13,13,3,12,74,177,29,115,181,0.413793,0.643478,0.977901
with_influencer,20,20,1,hybrid,12,4,5,3,32,66,98,71,101,153,0.450704,0.653465,0.640523
with_influencer,20,20,2,hybrid,11,6,3,2,17,113,94,38,133,154,0.447368,0.849624,0.610390
baseline,20,11,1,cosine,30,13,8,9,58,90,84,103,110,96,0.563107,0.818182,0.875000
without_influencer,20,11,1,hybrid,22,7,5,10,43,48,24,88,122,99,0.488636,0.393443,0.242424
without_influencer,20,11,2,hybrid,27,12,6,9,47,71,28,118,118,73,0.398305,0.601695,0.383562
without_influencer,20,11,3,hybrid,35,11,11,13,48,36,24,127,102,80,0.377953,0.352941,0.300000
with_influencer,20,11,1,hybrid,16,6,4,6,37,71,26,98,106,105,0.377551,0.669811,0.247619
with_influencer,20,11,2,hybrid,18,7,5,6,42,41,41,95,111,103,0.442105,0.369369,0.398058
without_influencer,20,42,1,hybrid,16,7,5,4,31,56,88,101,118,105,0.306931,0.474576,0.838095
without_influencer,20,42,2,hybrid,24,7,11,6,52,32,89,112,111,101,0.464286,0.288288,0.881188
without_influencer,20,42,3,hybrid,38,14,13,11,51,35,55,96,113,115,0.531250,0.309735,0.478261
with_influencer,20,42,1,hybrid,15,6,6,3,38,38,90,106,115,103,0.358491,0.330435,0.873786
with_influencer,20,42,2,hybrid,10,5,3,2,49,55,100,110,110,104,0.445455,0.500000,0.961538
with_influencer,20,42,3,hybrid,13,4,6,3,36,30,107,111,89,124,0.324324,0.337079,0.862903
without_influencer,20,20,1,hybrid,14,6,5,3,27,72,98,58,110,157,0.465517,0.654545,0.624204
without_influencer,20,20,2,hybrid,20,8,9,3,18,85,168,31,124,170,0.580645,0.685484,0.988235
with_influencer,20,11,3,hybrid,13,4,3,6,56,118,19,99,137,73,0.565657,0.861314,0.260274
baseline,20,17,1,cosine,26,7,11,8,74,73,83,106,118,96,0.698113,0.618644,0.864583
baseline,20,22,1,cosine,43,13,16,14,44,56,62,98,93,108,0.448980,0.602151,0.574074
baseline,20,605,1,cosine,36,17,12,7,35,55,72,104,102,109,0.336538,0.539216,0.660550
without_influencer,20,605,2,hybrid,31,8,9,14,40,117,19,106,128,81,0.377358,0.914062,0.234568
without_influencer,20,605,3,hybrid,37,11,12,14,34,111,37,94,126,95,0.361702,0.880952,0.389474
with_influencer,20,20,3,hybrid,6,3,2,1,25,76,190,35,100,190,0.714286,0.760000,1.000000
without_influencer,20,17,1,hybrid,14,8,3,3,55,88,61,105,147,68,0.523810,0.598639,0.897059
without_influencer,20,17,2,hybrid,28,8,9,11,52,64,20,121,132,67,0.429752,0.484848,0.298507
without_influencer,20,17,3,hybrid,35,10,12,13,51,51,56,110,130,80,0.463636,0.392308,0.700000
with_influencer,20,17,1,hybrid,16,6,6,4,48,27,46,107,120,93,0.448598,0.225000,0.494624
with_influencer,20,17,2,hybrid,11,4,3,4,55,92,29,101,152,67,0.544554,0.605263,0.432836
with_influencer,20,17,3,hybrid,8,3,3,2,53,87,60,99,144,77,0.535354,0.604167,0.779221
without_influencer,20,22,1,hybrid,21,6,7,8,51,33,59,103,73,123,0.495146,0.452055,0.479675
without_influencer,20,22,2,hybrid,29,10,8,11,67,68,46,112,90,97,0.598214,0.755556,0.474227
without_influencer,20,22,3,hybrid,38,11,15,12,71,51,51,114,80,105,0.622807,0.637500,0.485714
with_influencer,20,22,1,hybrid,15,6,6,3,42,34,54,105,91,103,0.400000,0.373626,0.524272
with_influencer,20,22,2,hybrid,14,5,4,5,36,68,62,96,87,116,0.375000,0.781609,0.534483
with_influencer,20,22,3,hybrid,14,5,6,3,49,47,50,118,93,88,0.415254,0.505376,0.568182
without_influencer,20,605,1,hybrid,24,6,7,11,46,51,25,123,120,72,0.373984,0.425000,0.347222
baseline,20,70,1,cosine,36,13,11,12,82,97,50,111,109,91,0.738739,0.889908,0.549451
without_influencer,20,70,2,hybrid,26,8,7,11,129,77,26,157,94,60,0.821656,0.819149,0.433333
with_influencer,20,605,1,hybrid,15,5,4,6,46,103,54,97,115,103,0.474227,0.895652,0.524272
with_influencer,20,605,2,hybrid,17,5,5,7,39,69,36,111,107,97,0.351351,0.644860,0.371134
