step,moves,tau,entropy,gini,drift
1,379,0.250000,1.050364,0.465245,0.000000
2,397,0.428571,0.699351,0.316313,0.000000
3,409,0.625000,0.593147,0.260981,0.000000
4,424,0.714286,0.577107,0.252274,0.000000
5,423,0.714286,0.520902,0.227790,0.000000
6,428,0.750000,0.486276,0.212650,0.000000
7,410,0.750000,0.434925,0.189537,0.000000
8,437,0.833333,0.504463,0.218208,0.000000
9,433,0.750000,0.423635,0.184509,0.000000
10,436,0.833333,0.484520,0.210163,0.000000
11,410,0.750000,0.376679,0.164270,0.000000
12,415,0.857143,0.435661,0.190012,0.000000
13,417,0.800000,0.387959,0.169504,0.000000
14,429,0.857143,0.459832,0.200654,0.000000
15,415,0.750000,0.364258,0.160855,0.000000
16,420,0.857143,0.462809,0.200804,0.000000
