step,moves,tau,entropy,gini,drift
1,41,0.278918,1.068023,0.469201,0.337033
2,11,0.439871,0.865635,0.385980,0.222292
3,2,0.507956,0.640119,0.288799,0.153042
4,4,0.563232,0.504872,0.230022,0.107343
5,1,0.599383,0.430609,0.196948,0.074424
6,3,0.616578,0.395510,0.181358,0.059751
7,0,0.634669,0.379983,0.174571,0.044544
8,0,0.641046,0.372298,0.170644,0.035050
9,0,0.646811,0.355227,0.164342,0.032005
10,0,0.650054,0.347972,0.161528,0.025221
11,0,0.655156,0.334848,0.154981,0.019900
12,1,0.657359,0.316491,0.146090,0.029048
13,0,0.661289,0.316491,0.146090,0.021554
14,0,0.664529,0.310562,0.143756,0.019487
15,0,0.665981,0.301567,0.140099,0.017114
16,0,0.668535,0.300589,0.139140,0.016535
