step,moves,tau,entropy,gini,drift
1,228,0.360022,1.107995,0.483676,0.319921
2,9,0.503936,0.922488,0.409111,0.206842
3,3,0.573149,0.783401,0.351025,0.138550
4,1,0.609199,0.703070,0.317010,0.095916
5,1,0.629430,0.656959,0.296783,0.069780
6,1,0.641775,0.624206,0.282436,0.051932
7,1,0.649718,0.603259,0.273190,0.040575
8,0,0.655124,0.590804,0.267938,0.031263
9,0,0.659456,0.581441,0.263825,0.026282
10,0,0.662527,0.574365,0.260678,0.021047
11,0,0.664944,0.569112,0.258280,0.017608
12,0,0.666754,0.563972,0.256185,0.015099
13,0,0.668208,0.559541,0.254244,0.013185
14,0,0.669454,0.557086,0.253171,0.011222
15,0,0.670650,0.555489,0.252413,0.009659
16,0,0.671302,0.551805,0.250728,0.008502
