variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
baseline,20,42,1,cosine,16,103,0.833333,0.440405,0.192979,0.000000
baseline,20,20,1,cosine,16,102,0.750000,0.359883,0.158439,0.000000
without_influencer,20,20,3,hybrid,16,0,0.689191,0.584494,0.266381,0.002173
with_influencer,20,20,1,hybrid,16,5,0.676941,0.282762,0.131768,0.018755
with_influencer,20,20,2,hybrid,16,3,0.685674,0.240638,0.111265,0.035721
baseline,20,11,1,cosine,16,101,0.833333,0.435166,0.191170,0.000000
without_influencer,20,11,1,hybrid,16,0,0.654943,0.488572,0.230032,0.012802
without_influencer,20,11,2,hybrid,16,0,0.663372,0.635010,0.291026,0.006300
without_influencer,20,11,3,hybrid,16,0,0.672757,0.739419,0.335955,0.006698
with_influencer,20,11,1,hybrid,16,0,0.645452,0.327268,0.152107,0.015694
with_influencer,20,11,2,hybrid,16,1,0.623473,0.437686,0.202312,0.013183
without_influencer,20,42,1,hybrid,16,0,0.662788,0.508721,0.235389,0.012486
without_influencer,20,42,2,hybrid,16,0,0.679433,0.617946,0.281175,0.010025
without_influencer,20,42,3,hybrid,16,0,0.684214,0.730372,0.329321,0.002272
with_influencer,20,42,1,hybrid,16,0,0.664707,0.306457,0.143473,0.012907
with_influencer,20,42,2,hybrid,16,0,0.668535,0.300589,0.139140,0.016535
with_influencer,20,42,3,hybrid,16,0,0.645809,0.444791,0.207439,0.009143
without_influencer,20,20,1,hybrid,16,0,0.669260,0.382166,0.177486,0.014525
without_influencer,20,20,2,hybrid,16,0,0.678434,0.496486,0.226926,0.011863
with_influencer,20,11,3,hybrid,16,1,0.656543,0.356522,0.165144,0.014064
baseline,20,17,1,cosine,16,97,0.750000,0.323745,0.145075,0.000000
baseline,20,22,1,cosine,16,103,0.857143,0.455108,0.199533,0.000000
baseline,20,605,1,cosine,16,108,0.833333,0.525187,0.229353,0.000000
without_influencer,20,605,2,hybrid,16,0,0.671289,0.713184,0.322998,0.008102
without_influencer,20,605,3,hybrid,16,0,0.683041,0.779310,0.351003,0.008096
with_influencer,20,20,3,hybrid,16,1,0.711748,0.157289,0.072938,0.034250
without_influencer,20,17,1,hybrid,16,1,0.665194,0.404620,0.188922,0.017036
without_influencer,20,17,2,hybrid,16,0,0.663951,0.628221,0.283335,0.004447
without_influencer,20,17,3,hybrid,16,0,0.675948,0.725803,0.327978,0.005115
with_influencer,20,17,1,hybrid,16,0,0.653430,0.350768,0.162582,0.015584
with_influencer,20,17,2,hybrid,16,1,0.669531,0.265096,0.124513,0.028232
with_influencer,20,17,3,hybrid,16,0,0.672886,0.283729,0.132729,0.010914
without_influencer,20,22,1,hybrid,16,0,0.673493,0.339300,0.156959,0.014043
without_influencer,20,22,2,hybrid,16,0,0.679723,0.529269,0.240282,0.009536
without_influencer,20,22,3,hybrid,16,0,0.683563,0.612493,0.277852,0.007166
